commodity,n_months,mean_index,std_index,mean_mom_change,std_mom_change,median_usdprice,cv_index
Beras kualitas rendah,123,111.75139417029673,29.99746946635428,0.5261989391835771,4.629763427743282,0.68,0.2684303823596282
Susu sapi segar,99,118.05915628761989,31.4380377967788,1.6614798685198027,11.213150630627489,0.87,0.26629055115545924
Minyak kedelai,120,113.29951714141117,29.95117694651341,0.592086440024376,10.88384311260089,1.745,0.2643539681561997
Daging babi kualitas kedua,118,100.2351941681875,26.35179569565721,4.2998975284433865,32.00431491083954,3.87,0.2628996323530912
Beras lokal kualitas rendah,113,123.34498606561384,32.3455710072717,0.8852811743129331,6.77597330695304,1.05,0.26223661000752274
Domba hidup,107,191.0926869695424,50.085428044567315,3.884576542416798,29.517972309794626,50.83,0.26210018205746544
Susu unta,114,128.9037085020526,33.33889977287446,3.530550194630067,27.693536829255642,52.49,0.2586341398575324
Minyak goreng,123,122.66268471436027,31.26796897587906,0.8998136205601921,8.34670767315226,1.8,0.2549101957835958
Minyak zaitun,117,95.08820082031507,24.194573674105673,0.21023797592245635,8.901451537991388,8.85,0.25444348999541316
Susu non-pasteurisasi,121,103.20949156565484,25.92961686245298,1.2466492748617002,13.686128767798182,0.71,0.25123287082524115
Fonio,116,105.59242958446742,26.506835340026132,1.7718497086367238,22.938899139496385,1.3525,0.2510296944992851
Kacang hitam,120,103.87297455800727,25.982090347908787,68.17860980613504,588.9909312523166,5.52,0.2501333042445919
Kakao bubuk,105,92.26070228121016,23.024686040645864,0.03485669060570411,10.455949856339405,8.0075,0.24956114002326513
Beras lokal kualitas tinggi,113,114.3523672232678,28.293140071903867,0.8339457538740735,7.047986361439643,1.15,0.2474206766237099
Keju kering,121,105.18553180615194,25.951686474171897,0.8876573373922338,12.392842151054872,4.25,0.2467229668239798
Bawang merah kering lokal,110,103.37515782828282,25.28214834008596,2.061424201606224,20.86432594309535,0.955,0.24456696242323817
Krim asam,108,193.26821740439627,47.00540537755879,0.9801928686353913,3.900660917233606,2.5125,0.24321332296041323
Kacang polong,108,99.20808156125857,24.03146021611916,8.298334526919945,77.5749571502593,0.73,0.2422328890744684
Kopi instan,118,77.17305613794392,18.593614539646712,2.227225440212768,35.792025304893464,3.1,0.2409340185570898
Roti tepung kualitas pertama,120,121.08397197802407,29.037682710229035,0.6999562326465534,7.48475266960805,0.89,0.239814421643677
Sorgum Berbere,103,90.2716485240757,21.625544380380987,1.3339091718443266,14.140179937137347,0.295,0.23956075616159148
Ikan beku,118,108.04249073834822,25.680163270752413,1.0303007790899015,11.736302245526074,3.635,0.23768577617248124
Kacang polong belah kering,121,113.14249437389431,26.576618886624754,0.6249676174975405,9.31903682842453,1.3050000000000002,0.23489511198859386
Kentang ukuran sedang,108,125.2739197530864,29.340079552768138,2.437512310331425,20.807621537738704,0.9775,0.23420740414762412
Beras butir panjang,121,106.68284464165434,24.79885916032467,1.0483698856509454,13.885403621604311,1.02,0.23245404866755823
Beras butir panjang impor,121,122.25804159673969,28.267330629129667,0.6295916485293491,6.562713275598245,0.71,0.2312103994137878
Bawang putih ukuran sedang,107,94.92310664642831,21.51280355472224,0.4096329329014261,9.211863375558186,2.63,0.2266340021387375
Kacang polong hijau kering,120,122.82373315103757,27.109668550456917,1.360709932116715,13.83628023890578,1.09,0.22072011536337108
Ikan gabus,107,97.31464775664811,21.368931798351806,0.17372659293493942,8.283144266277686,2.5,0.21958597488621104
Gandum buckwheat pecah,119,86.7425065776714,19.046900291706482,0.34807167072672585,13.104186865192949,1.0125000000000002,0.21957977747220633
Ikan asin,109,81.26375491715291,17.829623179241064,8.349274462732946,87.24489620799561,5.59,0.21940437280332514
Daging babi,122,119.674191585173,25.92806321946667,0.7610465450749243,9.33118326460651,4.655,0.21665542817570216
Kacang mash,120,67.96100333137369,14.620785693979565,-0.04857451192900425,7.65619114273805,1.63,0.215134929993448
Roti tepung kualitas tinggi,121,118.9614254067145,25.107816916190185,0.46913809309181,5.911461309786831,1.11,0.21105847404189756
Kacang butter,106,89.52443636515598,18.81770676767035,0.7268564527157082,10.270614240410266,1.375,0.21019631657792193
Apel merah,121,100.26905919235746,21.070789923931432,1.4367184106942417,15.862066411568545,1.915,0.2101424915487534
Beras basmati pecah,121,91.63899505064165,19.08769057286051,0.5390349078722468,11.167933948106912,0.81,0.2082922293321991
Daging sapi bertulang,121,116.73600469180523,24.30863257998537,0.5215403032869028,6.029816000721453,4.157500000000001,0.20823594780515745
Ghee vanaspati,115,140.05065428450823,28.88586561734557,0.4962523084753923,3.368941832770387,1.455,0.20625298585656657
Padi butir panjang lokal,106,88.9914319569775,18.037425066955432,1.9051353781896445,21.565472718632826,0.62,0.20268721010889615
Daging sapi kualitas kedua,119,100.53553846607687,20.300511972323356,0.19352641425018255,6.601906470267296,6.38,0.20192374042113717
Ayam utuh,121,112.59334794336885,22.002739828831718,0.4303988317637826,7.625038922108461,2.26,0.1954177598475751
Domba jantan kebiri ukuran sedang,122,117.03368865010734,22.867986069744465,1.1136722141467443,12.323282826189644,49.6075,0.19539661044190706
Semolina,117,105.58531312203358,20.597432903851377,0.7382909744223881,11.131657343814002,0.8858333333333334,0.19507857953733812
Keju rendah lemak,107,100.3245067497404,18.987213585980708,1.9339458327532715,19.315182822784166,3.73,0.18925798093724333
Daging babi kualitas pertama,118,103.19647233860614,19.485410337221634,1.2825073039811608,13.8660561954022,4.33,0.1888185700116425
Minyak mustard,117,119.43630624171959,22.551047525802193,0.34960011951294423,6.196198981070805,1.885,0.18881233215771553
Beras giling biasa,121,107.46769448132534,20.20679746697135,0.06567960965288924,5.472163576787504,0.735,0.18802671411623784
Nanas,118,113.25551966349406,21.037353420882653,1.7877686700253568,18.637022779694846,1.23,0.1857512418237014
Beras Denikassia impor,112,115.22177419354838,20.73285290641813,0.572928912586125,5.732288226188334,0.65,0.17993867089384766
Tepung maizena,113,93.90291514836024,16.624071917867575,1.577739376550571,18.01893893502317,0.65,0.1770346734348201
Daging kambing bertulang,116,109.31641690048329,19.10786651626009,3.9627951062699274,42.537730612684676,17.25,0.1747941165475175
Jagung impor,114,121.72830725462305,21.204375723985752,0.5268112026649683,6.253500976289292,0.43,0.17419428727971936
Kenari,107,90.85871108568037,15.729648205902434,3.122561584433348,30.361845862951675,2.0949999999999998,0.1731220707177903
