countryiso3,n_months,mean_index,std_index,mean_mom_change,std_mom_change,median_usdprice,cv_index
BFA,119,139.8272176004402,34.32474018705778,0.690426874317581,7.324973136814092,0.585,0.24547967681901234
BLR,77,119.58024591370153,29.172891187161,1.250373812545478,15.588203487217138,0.54,0.24396078937832627
TGO,77,115.89018575362688,27.447762107476315,1.442274181829845,13.892525357411444,0.43,0.23684285195493626
AFG,123,112.77011242800683,26.640053696652313,0.6623350640564661,5.04720877529621,0.65,0.23623328134623875
NER,116,134.71566850130435,30.021403451401465,0.7532986473495054,8.408959666666489,0.53,0.2228501241569446
PAK,121,93.01548432682573,20.715743215184197,0.4422513775691351,9.75012290600735,0.84,0.22271284577088166
PRY,64,99.71985397889588,21.604880099712766,1.2133375361346144,14.715371751720706,0.675,0.2166557534699669
SEN,120,135.9164776987906,29.100980912988295,0.7345554814147789,7.853931633381484,0.54,0.21410929274874255
HND,78,96.11967356520017,19.385657087043953,23.249025786319972,329.1911935499995,32.870000000000005,0.20168251064538018
LSO,120,140.3639146716815,27.571435457123872,0.7417179731257401,6.428967188375925,1.27,0.19642823101375376
NAM,76,139.53169855808497,26.562110768865058,2.3534173661053686,19.393919415236468,1.05,0.19036613933146987
JOR,108,110.57406021709237,20.693338448307237,0.671666103232542,11.684525460859367,1.69,0.18714460161523935
KAZ,59,121.39069077339806,21.287695878368172,1.4682626029495363,15.82552563471534,0.565,0.1753651432637965
GAB,18,108.88733270495736,18.54122436751216,1.139724392535736,11.287477200171901,1.085,0.1702789838534453
IDN,80,96.9326146314177,14.588956333312975,0.1555573034964801,4.9372896183626445,1.7174999999999998,0.15050616749364373
CHN,58,100.24133018960605,14.999844660754368,0.9428894809803464,11.022867714780025,0.36,0.14963732656362627
